link,Product,Web,development,software,Full-stack,total
https://www.softeq.com/elearning-industry?hsLang=en,2,3,0,0,0,5
https://www.softeq.com/blog?hsLang=en,0,2,0,0,0,2
https://www.softeq.com/oil-and-gas-industry?hsLang=en,1,2,2,0,1,6
https://www.softeq.com/data-srorage-industry?hsLang=en,0,2,4,2,0,8
https://twitter.com/softeq,0,0,0,0,0,0
https://www.softeq.com/news?hsLang=en,0,2,0,0,0,2
https://www.softeq.com/solutions-for-the-sports-industry?hsLang=en,0,2,1,2,0,5
https://www.softeq.com/featured_projects?hsLang=en,1,10,0,27,0,38
https://www.softeq.com/automotive-industry?hsLang=en,0,2,3,3,1,9
https://www.softeq.com/about?hsLang=en,3,2,21,35,1,62
https://statcounter.com/,2,1,0,0,0,3
https://web.facebook.com/softeq,0,0,0,0,0,0
https://www.softeq.com/construction-industry?hsLang=en,1,2,0,2,0,5
https://www.softeq.com/,1,5,3,6,3,18
https://www.youtube.com/user/Softeq,0,0,0,0,0,0
https://www.softeq.com/retail-solutions-industry?hsLang=en,0,2,2,1,0,5
