link,Product,Web,Development,software,web app,Full-stack,total
https://www.softeq.com/about?hsLang=en,3,2,21,35,0,1,62
https://www.softeq.com/featured_projects?hsLang=en,1,10,12,27,0,0,50
https://www.softeq.com/,1,5,22,6,0,3,37
https://www.softeq.com/elearning-industry?hsLang=en,2,3,11,0,0,0,16
https://www.softeq.com/automotive-industry?hsLang=en,0,2,9,3,0,1,15
https://www.softeq.com/construction-industry?hsLang=en,1,2,9,2,0,0,14
https://www.softeq.com/retail-solutions-industry?hsLang=en,0,2,9,1,2,0,14
https://www.softeq.com/oil-and-gas-industry?hsLang=en,1,2,9,0,0,1,13
https://www.softeq.com/data-srorage-industry?hsLang=en,0,2,9,2,0,0,13
https://www.softeq.com/solutions-for-the-sports-industry?hsLang=en,0,2,9,2,0,0,13
